message|english_message|label|toxicity|severe_toxicity
📌 Ceuta comunica 53 casos en 24 horas y dos fallecidos por ##Covid_19 📌 Murcia informa de 903 nuevos contagios y 11 fallecidos en un día.|📌 Ceuta reports 53 cases in 24 hours and two deaths from ##Covid_19 📌 Murcia reports 903 new infections and 11 deaths in one day.||0.020501737|0.025839642
@SAbichuelo @Vietgal1 Dicen que eran menas. Igual se estaban metiendo con él y él los grabó. O igual no. La verdad es que se han oído muchas cosas, mejor esperar a que se aclare un poco el tema.|@SAbichuelo @Vietgal1 They say they were ores. They were messing with him anyway and he recorded them. Or maybe not. The truth is that many things have been heard, it is better to wait for the matter to be clarified a little.||0.17421125|0.07210682
Guerra en la que ilegales magrebíes nos agreden y los medios cancerígenos lo okultan😡😡😡no lo callaremos, difundir|War in which illegal North Africans attack us and the carcinogenic media hide it 😡😡😡 we will not shut it up, spread||0.72063833|0.83179444
@AitorMiller Pues no ha llovido, tonto el nabo.|@AitorMiller Well, it hasn't rained, silly turnip.||0.91940844|0.73219585
@CarmenMarLan35 Lo hacen por dinero, como en cualquier oficio. De cuando en cuando te encuentras con alguna obligada, pero igual que pasa en el campo con algunos inmigrantes subsaharianos, rumanos, búlgaros, etc. Son casos raros. La mayoría viven de su cuerpo porque es cómodo y rentable.|@CarmenMarLan35 They do it for money, like in any job. From time to time you come across some forced, but just as it happens in the countryside with some Sub-Saharan, Romanian, Bulgarian, etc. immigrants. They are rare cases. Most live off their body because it is comfortable and profitable.||0.22238703|0.20246385
@All_themwitches @PiensaPrensa @BastianFuentesA no sabes lo que realmente pasa en chile, más bien iquique una ciudad tranquila llena de paz que se está llenando de inmigrantes ilegales, los cuales son delincuentes y/o sicarios. Ahora parece una ciudad como las de mexico o colombia|@All_themwitches @PiensaPrensa @BastianFuentesA you don't know what really happens in Chile, rather Iquique, a quiet city full of peace that is filling up with illegal immigrants, who are criminals and/or hitmen. Now it looks like a city like those in Mexico or Colombia||0.6465782|0.70190024
Porque los judíos exigen signos, los griegos buscan sabiduría; pero nosotros predicamos a Cristo crucificado: escándalo para los judíos, necedad para los gentiles; pero, para los llamados -judíos o griegos-, un Mesías que es fuerza de Dios y sabiduría de Dios.|Because the Jews demand signs, the Greeks seek wisdom; but we preach Christ crucified: a scandal for the Jews, foolishness for the Gentiles; but, for the so-called -Jews or Greeks-, a Messiah who is the strength of God and the wisdom of God.||0.61348313|0.70190024
🔴 Barcelona 5 individuos de origen extranjero agreden a un hombre en Barcelona para robarle el reloj. Ya están detenidos por los Mossos.|🔴 Barcelona 5 individuals of foreign origin attack a man in Barcelona to steal his watch. They are already detained by the Mossos.||0.3800797|0.20246385
voy a ir a quemar la Moncloa como perdamos esos territorios por parte de menas de 13 años.|I am going to burn down Moncloa if we lose those territories to 13-year-olds.||0.78252614|0.9074725
El Arsenal se mueve por Jovic|Arsenal moves for Jovic||0.023610184|0.016150719
@abc_es Claro que sí. Todos son intérpretes no? Y,claro..quería traer a toda su familia no? Y vivir a costa de las ayudas que a los españoles no les dan con el dinero público que ellos no pagan. Triste mis cojones. ¿Por qué no los quieren en países musulmanes?.|@abc_es Sure. They're all performers right? And, of course... you wanted to bring your whole family, right? And live at the expense of the aid that the Spaniards are not given with public money that they do not pay. Sad my balls. Why don't they want them in Muslim countries?||0.81054044|0.6572104
@controladores Inmigrantes ilegales paralizan el aeropuerto de Palma al huir de un avión marroquí|@controladores Illegal immigrants paralyze Palma airport when fleeing from a Moroccan plane||0.24366291|0.3039941
@elmundoes Curro Jiménez ..Sánchez alias el bandolero..el que roba a su pueblo para ayudar a los más desfavorecidos a vagos.inmigrantes.ninis.menas.moros.negros.okupas.violadores .delincuentes.pues yo le aconsejo que ayude a la gente trabajadora y a los empresarios .|@elmundoes Curro Jiménez ..Sánchez alias the bandit ..the one who robs his people to help the most disadvantaged vagos.immigrants.ninis.menas.moros.negros.squatters.rapists.criminals.well I advise you to help working people and businessmen.||0.87062573|0.887
La historia de la primera #Karen y los #michis te hará derramar varias lágrimas. @AztecaNoticias|The story of the first #Karen and the #michis will make you shed several tears. @AztecaNews||0.088019304|0.10293912
"""Iraquíes no árabes ni musulmanes, los yazidíes han constituido durante mucho tiempo una de las minorías más vulnerables de este país. Miles de ellos huyeron de las persecuciones bajo el régimen de Sadam Husein (1979-2003)."""|"""Neither Arab nor Muslim Iraqis, the Yazidis have long been one of the most vulnerable minorities in this country. Thousands of them fled persecution under Saddam Hussein's regime (1979-2003)."""||0.14144026|0.12850568
➡️Los obispos españoles ven “estupendo” que musulmanes, judíos y evangélicos tengan su casilla de la X @prensaCEE @DiocesisBilbao @iglesiaenaragon|"➡️The Spanish bishops see ""great"" that Muslims, Jews and Evangelicals have their X box @prensaCEE @DiocesisBilbao @iglesiaenaragon"||0.3100549|0.30667976
@EJLantigua Soto va a estar a nivel de Harper/Tatis. Ya debemos dejar de privar en #victimas en todo. Los latinos tan súper bien pagados. Y si no gana premios…es porque no los merecen.|@EJLantigua Soto is going to be at the level of Harper/Tatis. We must stop depriving #victims in everything. Latinos so super well paid. And if they don't win prizes…it's because they don't deserve them.||0.41583934|0.50145966
📍Las Raíces, TENERIFE. 💰Millones de € de nuestros bolsillos en plena crisis, para mantener a esta lacra de delincuentes que no quieren en su país. ➡️ Ni una sola mujer, ancian@, niñ@s pequeños, solo hombres... #StopInmigraciónIlegal #LaÑEstáEnPeligro #LevantandoEspaña|📍 The Roots, TENERIFE. 💰Millions of € from our pockets in the middle of the crisis, to keep this scourge of criminals they don't want in their country. ➡️ Not a single woman, elderly, small children, only men... #StopIllegalImmigration #LaÑEstaEnPeligro #LevantandoEspaña||0.7750789|0.80607814
@javierremirez Sois unos sinvergüenzas inútiles!! Cerrando bares y restaurantes mientras dejáis los aeropuertos abiertos al turismo de países mucho más afectados de COVID y dejando campar a sus anchas a inmigrantes ilegales! Cómo va la acogida de MENAS Remírez? A cuántos te has metido en casa?|@javierremirez You are useless scoundrels!! Closing bars and restaurants while leaving airports open to tourism from countries much more affected by COVID and letting illegal immigrants roam free! How is the reception of MENAS Remírez going? How many have you brought home?||0.8649878|0.53063244
@contrastado Barcelona la ciudad que fue. Y a la cumbre del clima la ESPAÑA progHEZ lleva a Colau la coartada de; ilegąles męnas mantęros ocupąs antisįstemas antifąscistas golpįstas......|@contrastado Barcelona the city that was. And to the summit of the climate the SPAIN progHEZ takes to Colau the alibi of; Illegal męnas mantęros occupies anti-fascist coup anti-systems......||0.516686|0.42460695
@cuevas_dawson Cripto judíos con DNI español|@cuevas_dawson Crypto Jews with Spanish ID||0.2702567|0.34303913
@carbonitedan @FranFransor1 @hasta_el_mismo3 @Mazinguer88 Llamamos escoria cuando es un español el que agrede , pero miramos hacia otro lado cuando hay decenas de agresiones por parte de menas y musulmanes a diario . No hay nada que explicar , usted parece lo bastante inteligente como para entender lo que ocurre en este país .|@carbonitedan @FranFransor1 @hasta_el_mismo3 @Mazinguer88 We call it scum when it is a Spaniard who attacks, but we look the other way when there are dozens of attacks by ores and Muslims on a daily basis. There is nothing to explain , you seem intelligent enough to understand what is going on in this country .||0.77526057|0.6826795
Los chilenos, tanto como los judíos y toda nación, tenemos todo derecho a poner condiciones a quiera avencindarse entre nosotros. Los que alegan que los inmigrantes ilegales tienen mejores derechos que los nuestros son totalitarios y usualmente criminales|We Chileans, as well as the Jews and every nation, have every right to put conditions on anyone who wants to settle among us. Those who claim that illegal immigrants have better rights than ours are totalitarian and usually criminal||0.7987924|0.73219585
Estos son los 14 directivos que dirigirán la nueva CaixaBank tras la fusión con Bankia|These are the 14 directors who will lead the new CaixaBank after the merger with Bankia||0.059126627|0.03895548
Ser buena persona,no significa que te dejes poner colarad@ a golpes...Pues lo mismo con los inmigrantes ilegales: Me gustaría ayudarte,PERO la gente q a levantado este país va primero cariñó 😘 #LevantandoEspañaConVox #LevantandoEspaña #TeamVox|Being a good person doesn't mean that you let yourself be beaten up... Well, the same with illegal immigrants: I'd like to help you, BUT the people who have raised this country come first, honey 😘 #RaisingSpainConVox #RaisingSpain #TeamVox||0.13629065|0.1642507
El IPC de diciembre ha subido al 6'7% mientras las pensiones las suben un 2'5%. Resumen= Bajan un 4'2% y traen más ilegales subsaharianos y magrebíes con subsidios. Agenda 2030.🤔🇪🇦|The CPI for December has risen to 6.7% while pensions are raised by 2.5%. Summary= They drop by 4.2% and bring in more illegal sub-Saharan and North Africans with subsidies. Agenda 2030.🤔🇪🇦||0.40437457|0.44552717
Vecinos de Casabermeja (Málaga) se hartan de los okupas: batalla campal contra los delincuentes|Residents of Casabermeja (Málaga) get fed up with squatters: pitched battle against criminals||0.3875867|0.20246385
@danypunkz @DommSantista1 Ya después llego @JZERMENOI y Torreo valio pura verga....pero si...si mi estimado @danypunkz ....VENCIMOS AL PUTO DESIERTO, A pesar de chinos cabrones, españoles ventajosos y árabes vergones(😎) , se venció como laguneros¡¡¡¡ *suena Viento de Apache***|@danypunkz @DommSantista1 After that came @JZERMENOI and Torreo was worth a shit....but yes...yes, my dear @danypunkz....WE BEAT THE FUCKING DESERT, despite Chinese bastards, advantageous Spaniards and shameful Arabs(😎 ), was defeated like lagoons! *Apache Wind sounds***||0.87062573|0.9297182
@CapitanBitcoin Lo que no puedo comprender es el estancamiento de jóvenes entre 40 y 20 años en temas como el de los menas y exmenas.Ellos tienen que cumplir con la ley ,son españoles y muchos en casa de papi.A los IILEGALES que deberían ser deportados les dan.... y ellos no reaccionan.Asi .....|@CapitanBitcoin What I can't understand is the stagnation of young people between 40 and 20 years old on issues such as the ores and exmenas. They have to comply with the law, they are Spanish and many at daddy's house. deportees give them .... and they do not react. So .....||0.3507442|0.3039941
✊ ¡Maldito #karma! Detenido uno de los jueces que defendió la Ley de Violencia de Género․.. por una denuncia de su mujer|✊ Damn #karma! One of the judges who defended the Gender Violence Law․ was arrested for a complaint by his wife||0.7136046|0.624502
Cuando los agresores son magrebís la agresión no es homófoba.|When the aggressors are North Africans, the aggression is not homophobic.||0.5156875|0.4202294
Dos ladrones magrebíes abusan sexualmente de una joven e intentan desnudarla en una plaza del centro de Valencia|Two North African thieves sexually abuse a young woman and try to undress her in a square in the center of Valencia||0.8103364|0.8142734
Andalucía endurece las sanciones por infringir medidas sanitarias: ¡600.000 € por incumplir aforos!|Andalusia toughens the sanctions for violating sanitary measures: €600,000 for failing to comply with capacity!||0.088155344|0.041289832
@eldonaji @T13 Bueno, yo tengo de vecinos a ambos lados de mi casa a inmigrantes y mi vecina Chilena, cree que ellos son delincuentes que vienen a quitarle la pega a los Chilenos, los prejuicios y xenofobia ciegan mas allá de lo evidente.|@eldonaji @T13 Well, I have immigrants as neighbors on both sides of my house and my Chilean neighbor believes that they are criminals who come to take the sting out of Chileans, prejudice and xenophobia blind beyond the obvious.||0.5772601|0.529073
que viva Venezuela que viva la revolución bolivariana que viva nicolas maduro moros primitivo cedeño gobernador de portuguesa|Long live Venezuela Long live the Bolivarian revolution Long live Nicolas Maduro Moros Primitivo Cedeño Governor of Portuguesa||0.5095687|0.5446442
Un aplauso a las patronas que le dan una mano amiga a los inmigrantes.|A round of applause to the employers who give a helping hand to immigrants.||0.19189163|0.1237522
@Alex_LeonD Que los cristianos celebren la Navidad así como los musulmanes celebran el Ramadam y nadie se ofende. ¿Por qué a los cristianos se los discrimina? La doble moral de estos pseudo gobernantes, deberían dar gracias a Dios porque su prosperidad vino gracias al cristianismo.|@Alex_LeonD That Christians celebrate Christmas as Muslims celebrate Ramadam and no one is offended. Why are Christians discriminated against? The double standard of these pseudo rulers, they should thank God because their prosperity came thanks to Christianity.||0.6654889|0.53063244
O la kakuna no sirve o los menas que la lían. Pero algo no funciona en Cataluña. Ambas me da a mi. #Soloquedavox|Either the kakuna is useless or the ores that mess it up. But something is not working in Catalonia. They both give me. #Soloquedavox||0.3807642|0.20246385
3 magrebíes detenidos en Barcelona por robar el reloj a una turista alemana de 80 años. Ya han quedado en libertad.|3 North Africans arrested in Barcelona for stealing the watch from an 80-year-old German tourist. They have already been released.||0.4827684|0.3039941
@NeoReaccionario Bergoglio es un falso papa. Diversos grupos dentro de la iglesia Católica e incluso algunos judíos entienden que estamos finalmente ante el FALSO PROFETA anunciado en el libro del Apocalípsis.|@NeoReaccionario Bergoglio is a false pope. Various groups within the Catholic Church and even some Jews understand that we are finally facing the FALSE PROPHET announced in the book of Revelation.||0.47852644|0.28196722
@MarceloSjw @siervo_creyente @Pablo51728734 @electo_mania Los Romanos eran los peores enemigos de los Judios y Cristianos, ¿entonces porqué YHWH en lugar de castigarlos los eligió para organizar su Palabra en Nicea? No lo se, piensalo, tal vez esos Reyes te engañaron😄|@MarceloSjw @siervo_creyente @Pablo51728734 @electo_mania The Romans were the worst enemies of the Jews and Christians, so why did YHWH instead of punishing them choose them to organize his Word in Nicaea? I don't know, think about it, maybe those Kings cheated on you😄||0.49149752|0.5291395
@simangeo Que cliché tan barato, intentando llamar feministas tontas a tu causa. Muy ridículo, porque HAMAS VICTIMIZA MUJERES y no es una inocente e indefensa mujer violada, es una organización jurada para matar judíos y destruir ISRAEL. No lo veras pasar. Tu alma seguirá atormentada !🤡|@simangeo What a cheap cliché, trying to call your cause dumb feminists. Very ridiculous, because HAMAS VICTIMIZES WOMEN and it is not an innocent and defenseless raped woman, it is an organization sworn to kill Jews and destroy ISRAEL. You won't see it happen. Your soul will continue to be tormented!🤡||0.87062573|0.8446766
¿QUÉ HACEN LA HEZQUIERDA Y LOS MEDIOS CÓMPLICES ANTE ESTOS HECHOS QUE ESTÁN SIENDO MUY FRECUENTES? Y LAS #Feministas, ¿QUÉ HACEN CON ESTAS AGRESIONES DE INVASORES DELINCUENTES? #gobiernosocialdelincuente #inmigrantes #delincuentes #bienvenidosabordo|WHAT ARE THE LEFT AND THE COMPLEX MEDIA DOING IN THE FACE OF THESE EVENTS THAT ARE BEING VERY FREQUENT? AND THE #Feminists, WHAT ARE THEY DOING WITH THESE AGGRESSIONS BY CRIMINALS INVADERS? #socialcrimegovernment #immigrants #criminals #welcomeonboard||0.65025276|0.6572104
@SrLeoS1 @ricardoescu @gustavoaloip Sí, para entrar a otros países árabes|@SrLeoS1 @ricardoescu @gustavoaloip Yes, to enter other Arab countries||0.067269556|0.0561269
Dos magrebíes detenidos en Lugo tras golpear con una barra de hierro a un hombre para robarle vía @gaceta_es|Two North Africans arrested in Lugo after hitting a man with an iron bar to rob him via @gaceta_es||0.2846767|0.3039941
Qué fulera la escenificación de los programas de NACIÓN+, molesta a la vista todo ese cuadriculado con filetes negros y solo una pantalla a color. Vi a MAJUL, tampoco me gustó, mucha gente!!|How ridiculous is the staging of the NACIÓN+ programs, all that grid with black borders and only a color screen annoys the eye. I saw MAJUL, I didn't like it either, a lot of people!!||0.19598694|0.20355
@JMonteroK9 @PerlaRiverenha Hace 1 perro algo sin saber cómo y por qué y sale en todos los medios. Hasta la raza. De la manada de magrebíes que ha violado a una chica de 17 años no he sabido nada. De la manada española se supo hasta la calle donde vivían...|@JMonteroK9 @PerlaRiverenha 1 dog does something without knowing how or why and it appears in all the media. Even the race. I haven't heard from the pack of North Africans who raped a 17-year-old girl. The Spanish herd was known even the street where they lived...||0.64979553|0.72554743
"@VictoriaCF @JuanJoseAvalo1 @edelvallerod Lo dice muy claro ""la MONADA ESA de la cruz roja ayudar a los MAGREBÍES que vienen muy mal"". Habla de todos los magrebíes (referència a los que vinieron en mayo sin distingir delincuentes) y denigra a la chica. Pero claro, l@s racistas y machistas de mierda de v🤮x os blanqueáis."|"@VictoriaCF @JuanJoseAvalo1 @edelvallerod He says it very clearly ""that MONADA ESA of the red cross help the MAGHREBIS who are very bad"". He talks about all the North Africans (reference to those who came in May without distinguishing criminals) and denigrates the girl. But of course, the shitty racists and sexists of v🤮x whiten yourselves."||0.8629883|0.8820656
Me ha dicho mi madre ya que ni se nos ocurra decirle nada a los gitanos porque tienen cuchillos y navajas, que vaya mirando tapones de estos que aíslan el ruido a tope mejor para poder dormir xd|My mother has already told me not to even think of saying anything to the gypsies because they have knives and razors, to look at these plugs that isolate the noise to the fullest so we can sleep xd||0.4046009|0.44569087
@Santi_ABASCAL @Igarrigavaz Sois muy necesarios en la recuperación de Cataluña, imprescindibles!! #NiUnPasoAtras 💪🏽 #VoxExtremaNecesidad y #ProtejamosEspaña 🇪🇦 🇪🇦|@Santi_ABASCAL @Igarrigavaz You are very necessary in the recovery of Catalonia, essential! #NiUnPasoAtras 💪🏽 #VoxExtremaNecesidad and #ProtejamosEspaña 🇪🇦 🇪🇦||0.3615477|0.20246385
Detenidos seis menores magrebíes por encerrar y amenazar a dos cuidadoras de un centro de acogida en Fuerteventura - La Provincia|Six North African minors arrested for locking up and threatening two caregivers from a shelter in Fuerteventura - La Provincia||0.29845852|0.35102773
#República 🚨 🚓 Uno de los detenidos contaba con una ficha roja de búsqueda, por su probable relación con un grupo delictivo dedicado a la falsificación de medios de pago electrónicos en diversos países de Europa ⬇️|#Republic 🚨 🚓 One of the detainees had a red search card, due to his likely relationship with a criminal group dedicated to counterfeiting electronic means of payment in various European countries ⬇️||0.07740372|0.054040037
💬 «Hay que ser antirracista en lo cotidiano», entrevista a Moha Gerehou, autor de “Qué hace un negro como tú en un sitio como este“ 👉 Consulta la entrevista completa en #Reportajes #Racismo #CEAAULA|"💬 ""You have to be anti-racist in everyday life"", interview with Moha Gerehou, author of ""What does a black like you do in a place like this"" 👉 Check the full interview in #Reportajes #Racismo #CEAAULA"||0.49710432|0.6183233
@DebatAlRojoVivo Luego viene una manada de magrebíes y te violan en grupo...|@DebatAlRojoVivo Then a pack of North Africans comes and gang rapes you...||0.8942023|0.9369774
@valkiria642 Las personas normales no se reúnen en manada para realizar ese tipo de actos. Sólo los delincuentes y “algunos” extranjeros ilegales, que justificando sus culturas, quieren implantar en España 🇪🇸 sus leyes y sus costumbres. #LaÑEstaEnPeligro 👇🏼|"@valkiria642 Normal people don't herd to perform such acts. Only criminals and ""some"" illegal aliens, who, justifying their cultures, want to implant their laws and customs in Spain 🇪🇸. #LaÑEstaEnPerigro 👇🏼"||0.41714284|0.4439061
@AntofagastaTV Grave. Lamentablemente son impunes por su condición de ilegales. Una verdadera mierda eso que llaman INMIGRANTES en Antofagasta|@AntofagastaTV Serious. Unfortunately they go unpunished due to their illegal status. A real shit what they call IMMIGRANTS in Antofagasta||0.8615806|0.8417081
@iescolar Escolar, la gente está hasta los cojones de las violaciones, agresiones, robos, amenazas y palizas que reciben de menas, magrebíes e inmigrantes ilegales. Coño, ¿porque no publicas las violaciones casi diarias que sufrimos por esta gentuza? Hay Barrios que están al limite|@iescuela Escolar, people are fed up with the rapes, assaults, robberies, threats and beatings they receive from menas, North Africans and illegal immigrants. Damn, why don't you publish the almost daily violations we suffer from this rabble? There are neighborhoods that are at the limit||0.9231451|0.9419214
.#Expulsiónya Dos magrebíes abusan sexualmente de una joven en una céntrica plaza de Valencia|.# Expulsion and Two North Africans sexually abuse a young woman in a central square in Valencia||0.67962456|0.80607814
@Lolxd4K Yo puedo con 10 negros y el pelon de brazzers|@Lolxd4K I can handle 10 blacks and the hairy brazzers||0.68616873|0.77015305
"Pues esta mujer subnormal,enviaba gitanos, extorsionaba estudiantes y los enviaba con el dinero 💰 a ""comprar""Lo que iba es a una muerte segura. Porque tendrían que ir hasta el amazonas. Porque ya de por si , nadie habla de eso en Ecuador y Colombia. #Navarra #Tudela #Pamplona"|"Well, this subnormal woman sent gypsies, extorted students and sent them with the money 💰 to ""buy"" What she was going to do is certain death. Because they would have to go to the Amazon. Because already, nobody talks about it in Ecuador and Colombia. #Navarra #Tudela #Pamplona"||0.87062573|0.9378279
